po_id,vendor_id,vendor_name_raw,category_code,business_purpose,item_description,amount_raw,currency,created_at,attachment_ids
PO-2026-00001,V0001,星河算力科技有限公司,COMPUTE_SERVICE,候选排序回放采购，用于跨部门协作,压测资源 - 轻量包,21285,CNY,2026-04-01,
PO-2026-00002,V0002,星河咨询服务有限公司,AI_CONSULTING,制度设计采购，用于交付保障,培训工作坊 - 专项包,54637,CNY,2026-03-25,
PO-2026-00003,V0004,北辰安全技术,SECURITY_ASSESSMENT,渗透测试采购，用于临时支持,漏洞扫描 - 标准包,13704,CNY,2026-10-06,ATT-00001
PO-2026-00004,V0006,云杉数据治理有限公司,DATA_GOVERNANCE,血缘采购，用于平台建设,数据目录 - 专项包,24739,CNY,2026-03-06,
PO-2026-00005,V0007,Spruce SaaS,SOFTWARE_SUBSCRIPTION,年费采购，用于平台建设,账号 - 补充包,11233,CNY,2026-02-28,ATT-00002
PO-2026-00006,V0011,Qiheng Devices,HARDWARE_DEVICE,智能硬件采购，用于临时支持,测试手机 - 加急包,53411,CNY,2026-08-17,
PO-2026-00007,V0009,澄明培训咨询,AI_CONSULTING,模型风险采购，用于二期扩容,制度设计 - 加急包,42355,CNY,2026-02-03,
PO-2026-00008,V0008,澄明运营咨询,AI_CONSULTING,制度设计采购，用于年度专项,AI治理 - 标准包,46478,CNY,2026-09-07,
PO-2026-00009,V0005,北辰合规咨询,AI_CONSULTING,培训工作坊采购，用于年度专项,合规咨询 - 月度包,18186,CNY,2026-06-04,
PO-2026-00010,V0012,远岚会议服务有限公司,TRAVEL_EVENT,酒店采购，用于跨部门协作,会议 - 标准包,1256,CNY,2026-04-02,
PO-2026-00011,V0010,Qiheng Office,OFFICE_SUPPLY,打印采购，用于交付保障,桌椅 - 补充包,66279,CNY,2026-12-23,
PO-2026-00012,V0011,Qiheng Devices,OFFICE_SUPPLY,办公采购，用于平台建设,耗材 - 轻量包,49533,CNY,2026-02-19,
PO-2026-00013,V0001,Galaxy Compute,COMPUTE_SERVICE,候选排序回放采购，用于年度专项,推理节点 - 专项包,28893,CNY,2026-09-12,ATT-00003
PO-2026-00014,V0002,星河咨询服务,AI_CONSULTING,AI治理采购，用于年度专项,合规咨询 - 标准包,50516,,2026-08-10,ATT-00017
PO-2026-00015,V0004,Beichen Security,SECURITY_ASSESSMENT,渗透测试采购，用于临时支持,安全评估 - 标准包,31212,CNY,2026-08-12,
PO-2026-00016,V0006,Spruce Data,SOFTWARE_SUBSCRIPTION,标签治理采购，用于交付保障,标签治理 - 专项包,1227,CNY,2026-10-05,ATT-00014
PO-2026-00017,V0007,Spruce SaaS,SOFTWARE_SUBSCRIPTION,软件授权采购，用于临时支持,年费 - 补充包,29355,CNY,2026-01-12,ATT-00018;ATT-00022
PO-2026-00018,,启衡,HARDWARE_DEVICE,终端设备采购，用于二期扩容,服务器配件 - 标准包,17786,CNY,2026-06-09,ATT-00012
PO-2026-00019,V0009,澄明培训咨询有限公司,AI_CONSULTING,模型风险采购，用于临时支持,培训工作坊 - 加急包,29604,CNY,2026-04-16,
