vendor_id,legal_name,tax_id,business_scope,brand_name,city
V0001,星河算力科技有限公司,91110108MA01X0012A,模型评测算力、GPU短租、推理节点、临时云资源,Galaxy Compute,北京
V0002,星河咨询服务有限公司,91110108MA01X0099B,AI治理咨询、制度设计、管理咨询、模型风险评估,Galaxy Advisory,北京
V0003,星河智能设备有限公司,91110108MA01X0066C,测试终端、智能硬件、实验室设备、服务器配件,Galaxy Devices,北京
V0004,北辰安全技术有限公司,91310115MA02S0088K,红队演练、漏洞扫描、攻防测试、风控仿真,Beichen Security,上海
V0005,北辰合规咨询有限公司,91310115MA02S0019L,合规咨询、合同审查、隐私治理、制度流程设计,Beichen Advisory,上海
V0006,云杉数据治理有限公司,91440101MA5D0099Q,数据血缘、标签治理、主数据清洗、数据目录整理,Spruce Data,广州
V0007,云杉云软件有限公司,91440101MA5D0098P,SaaS订阅、监控平台、API订阅、协作软件账号,Spruce SaaS,广州
V0008,澄明运营咨询有限公司,91510100MA06A0007H,运营策略、流程梳理、专题研究、管理咨询,ClearView Ops,成都
V0009,澄明培训咨询有限公司,91510100MA06A0044J,专项培训、技术workshop、制度宣导、课程材料,ClearView Workshop,成都
V0010,启衡办公用品有限公司,91120116MA03H0066R,办公耗材、打印用品、桌椅、行政用品,Qiheng Office,天津
V0011,启衡智能设备有限公司,91120116MA03H0099T,测试手机、服务器配件、实验室终端、办公终端配件,Qiheng Devices,天津
V0012,远岚会议服务有限公司,91330110MA2B0022K,会议场地、酒店、交通、团建和活动执行,Yuanlan Events,杭州
V0013,星火算力科技有限公司,9100000000000102947,用于模型评测、推理或压测的云资源、GPU 算力、临时计算节点和容量支持,星火 Compute,成都
V0014,星火数据治理有限公司,9100000000000110866,围绕数据血缘、数据质量、标签治理、主数据清洗、指标口径和数据目录的实施服务,星火 Data,武汉
V0015,星火安全技术有限公司,9100000000000118785,红队演练、漏洞扫描、渗透测试、攻防复盘、安全基线评估和风险验证服务,星火 Security,南京
V0016,星火咨询服务有限公司,9100000000000126704,管理咨询、AI 治理、合规评估、培训工作坊和制度流程设计等专业服务,星火 Advisory,北京
V0017,星火云软件有限公司,9100000000000134623,协作软件、监控平台、API 调用、云软件账号、知识库或工单系统等订阅服务,星火 SaaS,上海
V0018,星火智能设备有限公司,9100000000000142542,测试手机、服务器配件、实验室终端、边缘盒子、开发板和其他实物设备采购,星火 Devices,广州
V0019,星火办公用品有限公司,9100000000000150461,办公耗材、打印用品、桌椅、行政用品、会议白板和工位配件等日常采购,星火 Office,深圳
V0020,星火会议服务有限公司,9100000000000158380,差旅、会议场地、酒店、交通接驳、团建和现场活动执行,星火 Events,杭州
V0021,云桥算力科技有限公司,9100000000000166299,用于模型评测、推理或压测的云资源、GPU 算力、临时计算节点和容量支持,云桥 Compute,成都
V0022,云桥数据治理有限公司,9100000000000174218,围绕数据血缘、数据质量、标签治理、主数据清洗、指标口径和数据目录的实施服务,云桥 Data,武汉
V0023,云桥安全技术有限公司,9100000000000182137,红队演练、漏洞扫描、渗透测试、攻防复盘、安全基线评估和风险验证服务,云桥 Security,南京
V0024,云桥咨询服务有限公司,9100000000000190056,管理咨询、AI 治理、合规评估、培训工作坊和制度流程设计等专业服务,云桥 Advisory,北京
V0025,云桥云软件有限公司,9100000000000197975,协作软件、监控平台、API 调用、云软件账号、知识库或工单系统等订阅服务,云桥 SaaS,上海
V0026,云桥智能设备有限公司,9100000000000205894,测试手机、服务器配件、实验室终端、边缘盒子、开发板和其他实物设备采购,云桥 Devices,广州
V0027,云桥办公用品有限公司,9100000000000213813,办公耗材、打印用品、桌椅、行政用品、会议白板和工位配件等日常采购,云桥 Office,深圳
V0028,云桥会议服务有限公司,9100000000000221732,差旅、会议场地、酒店、交通接驳、团建和现场活动执行,云桥 Events,杭州
V0029,南栀算力科技有限公司,9100000000000229651,用于模型评测、推理或压测的云资源、GPU 算力、临时计算节点和容量支持,南栀 Compute,成都
V0030,南栀数据治理有限公司,9100000000000237570,围绕数据血缘、数据质量、标签治理、主数据清洗、指标口径和数据目录的实施服务,南栀 Data,武汉
V0031,南栀安全技术有限公司,9100000000000245489,红队演练、漏洞扫描、渗透测试、攻防复盘、安全基线评估和风险验证服务,南栀 Security,南京
V0032,南栀咨询服务有限公司,9100000000000253408,管理咨询、AI 治理、合规评估、培训工作坊和制度流程设计等专业服务,南栀 Advisory,北京
V0033,南栀云软件有限公司,9100000000000261327,协作软件、监控平台、API 调用、云软件账号、知识库或工单系统等订阅服务,南栀 SaaS,上海
V0034,南栀智能设备有限公司,9100000000000269246,测试手机、服务器配件、实验室终端、边缘盒子、开发板和其他实物设备采购,南栀 Devices,广州
V0035,南栀办公用品有限公司,9100000000000277165,办公耗材、打印用品、桌椅、行政用品、会议白板和工位配件等日常采购,南栀 Office,深圳
V0036,南栀会议服务有限公司,9100000000000285084,差旅、会议场地、酒店、交通接驳、团建和现场活动执行,南栀 Events,杭州
V0037,青岚算力科技有限公司,9100000000000293003,用于模型评测、推理或压测的云资源、GPU 算力、临时计算节点和容量支持,青岚 Compute,成都
V0038,青岚数据治理有限公司,9100000000000300922,围绕数据血缘、数据质量、标签治理、主数据清洗、指标口径和数据目录的实施服务,青岚 Data,武汉
V0039,青岚安全技术有限公司,9100000000000308841,红队演练、漏洞扫描、渗透测试、攻防复盘、安全基线评估和风险验证服务,青岚 Security,南京
V0040,青岚咨询服务有限公司,9100000000000316760,管理咨询、AI 治理、合规评估、培训工作坊和制度流程设计等专业服务,青岚 Advisory,北京
V0041,青岚云软件有限公司,9100000000000324679,协作软件、监控平台、API 调用、云软件账号、知识库或工单系统等订阅服务,青岚 SaaS,上海
V0042,青岚智能设备有限公司,9100000000000332598,测试手机、服务器配件、实验室终端、边缘盒子、开发板和其他实物设备采购,青岚 Devices,广州
V0043,青岚办公用品有限公司,9100000000000340517,办公耗材、打印用品、桌椅、行政用品、会议白板和工位配件等日常采购,青岚 Office,深圳
V0044,青岚会议服务有限公司,9100000000000348436,差旅、会议场地、酒店、交通接驳、团建和现场活动执行,青岚 Events,杭州
V0045,启明算力科技有限公司,9100000000000356355,用于模型评测、推理或压测的云资源、GPU 算力、临时计算节点和容量支持,启明 Compute,成都
V0046,启明数据治理有限公司,9100000000000364274,围绕数据血缘、数据质量、标签治理、主数据清洗、指标口径和数据目录的实施服务,启明 Data,武汉
V0047,启明安全技术有限公司,9100000000000372193,红队演练、漏洞扫描、渗透测试、攻防复盘、安全基线评估和风险验证服务,启明 Security,南京
V0048,启明咨询服务有限公司,9100000000000380112,管理咨询、AI 治理、合规评估、培训工作坊和制度流程设计等专业服务,启明 Advisory,北京
V0049,启明云软件有限公司,9100000000000388031,协作软件、监控平台、API 调用、云软件账号、知识库或工单系统等订阅服务,启明 SaaS,上海
V0050,启明智能设备有限公司,9100000000000395950,测试手机、服务器配件、实验室终端、边缘盒子、开发板和其他实物设备采购,启明 Devices,广州
V0051,启明办公用品有限公司,9100000000000403869,办公耗材、打印用品、桌椅、行政用品、会议白板和工位配件等日常采购,启明 Office,深圳
V0052,启明会议服务有限公司,9100000000000411788,差旅、会议场地、酒店、交通接驳、团建和现场活动执行,启明 Events,杭州
V0053,海岳算力科技有限公司,9100000000000419707,用于模型评测、推理或压测的云资源、GPU 算力、临时计算节点和容量支持,海岳 Compute,成都
V0054,海岳数据治理有限公司,9100000000000427626,围绕数据血缘、数据质量、标签治理、主数据清洗、指标口径和数据目录的实施服务,海岳 Data,武汉
V0055,海岳安全技术有限公司,9100000000000435545,红队演练、漏洞扫描、渗透测试、攻防复盘、安全基线评估和风险验证服务,海岳 Security,南京
V0056,海岳咨询服务有限公司,9100000000000443464,管理咨询、AI 治理、合规评估、培训工作坊和制度流程设计等专业服务,海岳 Advisory,北京
V0057,海岳云软件有限公司,9100000000000451383,协作软件、监控平台、API 调用、云软件账号、知识库或工单系统等订阅服务,海岳 SaaS,上海
V0058,海岳智能设备有限公司,9100000000000459302,测试手机、服务器配件、实验室终端、边缘盒子、开发板和其他实物设备采购,海岳 Devices,广州
V0059,海岳办公用品有限公司,9100000000000467221,办公耗材、打印用品、桌椅、行政用品、会议白板和工位配件等日常采购,海岳 Office,深圳
V0060,海岳会议服务有限公司,9100000000000475140,差旅、会议场地、酒店、交通接驳、团建和现场活动执行,海岳 Events,杭州
V0061,墨衡算力科技有限公司,9100000000000483059,用于模型评测、推理或压测的云资源、GPU 算力、临时计算节点和容量支持,墨衡 Compute,成都
V0062,墨衡数据治理有限公司,9100000000000490978,围绕数据血缘、数据质量、标签治理、主数据清洗、指标口径和数据目录的实施服务,墨衡 Data,武汉
V0063,墨衡安全技术有限公司,9100000000000498897,红队演练、漏洞扫描、渗透测试、攻防复盘、安全基线评估和风险验证服务,墨衡 Security,南京
