vendor_id,vendor_name,service_scope
V001,蓝湖终端服务有限公司,员工笔记本、显示器、扩展坞、办公终端安装、终端资产登记和资产登记
V002,中枢机房设备有限公司,服务器、服务器上架、机架配件、网络交换机、存储扩容和机房布线
V003,安行安全咨询有限公司,漏洞扫描、外部暴露面检查、渗透测试、攻击路径复盘、安全基线核验和整改复测
V004,数澜治理顾问有限公司,数据目录、数据目录梳理、指标口径梳理、指标口径统一、指标口径复核、主数据清理、数据质量规则、数据质量规则配置和数据血缘配置
V005,云席软件订阅有限公司,SaaS 账号订阅、研发观测台席位续展、接口额度包和团队知识库访问名额
V006,会桥活动服务有限公司,培训会务、集中培训场地、项目评审会务、评审会场地、讲师差旅、住宿协调和现场接驳
V007,桥影创意传播有限公司,品牌物料设计、品牌活动物料设计、活动页面、活动页面设计、传播海报、短视频脚本和广告投放素材
V008,棱镜实验硬件有限公司,测试手机、实验终端、边缘盒子、联调样机和机架小型部件
V009,票流财务系统有限公司,报销流程配置、发票工作流、付款审批表单和财务系统字段调整
V010,印迹办公补给有限公司,打印耗材、工牌、文具、文具补给、会议室白板和日常办公补给
V011,模型边界咨询有限公司,AI 治理制度评审、模型上线风险梳理、模型使用边界工作坊、使用边界工作坊和合规流程辅导
V012,协维 IT 支持有限公司,IT 服务台、IT 服务台外包、终端维修、入职设备配置、账号开通和现场支持
V013,知简内容服务有限公司,知识库文章整理、帮助中心文案、帮助中心文案更新、培训材料润色和内部公告写作
V014,青植空间服务有限公司,办公绿植、茶水间维护、空气净化设备巡检和前台物资整理
